URL,Type,Note
https://graceful-sunburst-78f35d.netlify.app/www.classcentral.com/index.html,PASS,
https://ammardab3an99.github.io/,PASS,
https://heartfelt-lollipop-736861.netlify.app/,PASS,
https://radiant-hummingbird-697a83.netlify.app/,PASS,
http://trialserver.rf.gd/trial6/www.classcentral.com/index.html,PASS,
https://class-central.vercel.app/www.classcentral.com/index.html,FAIL,Inner pages not translated
https://5dcookie.github.io/,FAIL,Images not high resolution; Javascript dropdown not working properly
"https://www.census2011.co.in/city.php#:~:text=Here%20are%20the%20details%20of,%2D%203%2C124%2C458%2C%20Jaipur%20%2D%203%2C046%2C163",FAIL,Wrong page
https://umair1814.github.io/,FAIL,Javascript dropdown not working properly
na.co,FAIL,Wrong page
https://www.httrack.com/,FAIL,Wrong page
https://www.classcentral.com/,FAIL,Wrong page
https://sinistersup.github.io/classcentral-hindi/,FAIL,Images not high resolution; Javascript dropdown not working properly
https://omarkhalifa97.github.io/khalifaaaz.github.io/,PASS,
https://df0a.github.io/,PASS,
http://miguel-hindi-classcentral.s3-website-us-east-1.amazonaws.com/,PASS,
https://classcentral-scrape-hindi.vercel.app/,PASS,
https://testclass01.000webhostapp.com/www.classcentral.com/index.html,FAIL,Images not high resolution; Javascript dropdown not working properly
https://mike-brown5.github.io/AllStars-Scrapped-Site/,FAIL,Javascript dropdown not working properly; Inner pages not translated
https://ubadeakkad.github.io/,PASS,
https://www.dqlab.id/,FAIL,Wrong page
https://drive.google.com/drive/folders/1eLU2AQ80bn89gYNC2HEIbrKswVzdj0qC?usp=sharing,FAIL,Wrong page
https://www.mediafire.com/folder/ktcts50c9o1up/Class_Central_-Website_translation,FAIL,Wrong page
https://www.facebook.com/,FAIL,Wrong page
http://daniel1uno.byethost31.com/,PASS,
http://mihir.testing-phase.com/,PASS,
http://grsmuche.vh109.hosterby.com/,PASS,
https://a58-mohiuddin.github.io/developer_trial_task/web_translate.html,FAIL,Wrong page
https://datta07.github.io/classcentralclone/,FAIL,Images not high resolution; Javascript dropdown not working properly
https://venerable-froyo-7f3b1e.netlify.app/university/cornell.html,FAIL,"Inner pages not translated, Images not high resolution, Javascript dropdown not working properly"
https://muhammederenaslan.github.io/codingallstars/,FAIL,"Inner pages not translated, Images not high resolution; Javascript dropdown not working properly"
https://exosmotic-bay.000webhostapp.com/,FAIL,"Inner pages not translated, Images not high resolution; Javascript dropdown not working properly"
https://interviewdeneme123.000webhostapp.com/,FAIL,"Inner pages not translated, Images not high resolution; Javascript dropdown not working properly"
http://classcent.infinityfreeapp.com/,PASS,
https://codingallstarttest0000.on.drv.tw/www.teeest.blog/,FAIL,Javascript dropdown not working properly